ipo_name,listing_date,listing_year,listing_month,issue_price,issue_amount_cr,lot_size,qib_x,nii_x,retail_x,total_x,gmp,gmp_percent,is_mainboard,listing_gain_pct
Modern Diagnostic & Research Centre Ltd.,2026-01-07,2026,1,90,35.04,0,78.84,702.57,337.84,263.37,0,0,0,5.54
E to E Transportation Infrastructure Ltd.,2026-01-02,2026,1,174,79.97,0,95.34,871.56,541.83,368.17,0,0,0,88.39
Apollo Techno Industries Ltd.,2025-12-31,2025,12,130,45.55,0,11.12,98.46,48.13,37.2,0,0,0,16.88
Bai Kakaji Polymers Ltd.,2025-12-31,2025,12,186,99.9,0,3.85,7.92,3.85,4.46,0,0,0,1.18
Admach Systems Ltd.,2025-12-31,2025,12,239,40.47,0,1.57,7.37,3.85,3.84,0,0,0,-16.0
Nanta Tech Ltd.,2025-12-31,2025,12,220,29.91,0,5.93,7.11,3.09,5.08,0,0,0,11.68
Dhara Rail Projects Ltd.,2025-12-31,2025,12,126,47.63,0,29.34,199.47,96.91,78.53,0,0,0,25.0
Sundrex Oil Co.Ltd.,2025-12-30,2025,12,86,30.62,0,1.0,0.69,1.86,1.38,0,0,0,-23.95
Shyam Dhani Industries Ltd.,2025-12-30,2025,12,70,36.53,0,103.34,1619.12,1126.37,690.06,0,0,0,99.5
Gujarat Kidney & Super Speciality Ltd.,2025-12-30,2025,12,114,250.8,0,1.18,4.73,18.31,3.42,0,0,1,-8.3
Dachepalli Publishers Ltd.,2025-12-30,2025,12,102,38.36,0,1.18,3.07,1.87,1.7,0,0,0,-22.4
EPW India Ltd.,2025-12-30,2025,12,97,30.22,0,1.07,1.53,1.28,1.21,0,0,0,20.15
MARC Technocrats Ltd.,2025-12-24,2025,12,93,40.37,0,8.67,8.71,10.69,9.69,0,0,0,-23.98
Global Ocean Logistics India Ltd.,2025-12-24,2025,12,78,28.89,0,2.74,29.47,11.67,9.89,0,0,0,1.65
KSH International Ltd.,2025-12-23,2025,12,384,626.35,0,1.17,0.45,0.93,0.98,0,0,1,-7.55
Neptune Logitek Ltd.,2025-12-22,2025,12,126,44.29,0,,0.33,2.86,1.59,0,0,0,-23.97
Ashwini Container Movers Ltd.,2025-12-19,2025,12,142,67.45,0,1.23,3.5,1.13,1.54,0,0,0,-1.34
ICICI Prudential Asset Management Co.Ltd.,2025-12-19,2025,12,2165,10602.65,0,50.39,21.0,2.42,28.19,0,0,1,19.44
Exim Routes Ltd.,2025-12-19,2025,12,88,41.54,0,8.25,21.59,9.89,10.83,0,0,0,31.25
Stanbik Agro Ltd.,2025-12-19,2025,12,30,11.65,0,,1.29,1.68,1.48,0,0,0,11.1
HRS Aluglaze Ltd.,2025-12-18,2025,12,96,48.28,0,11.71,82.29,48.82,35.49,0,0,0,37.81
Pajson Agro India Ltd.,2025-12-18,2025,12,118,70.23,0,5.19,6.85,3.79,4.95,0,0,0,10.34
Shipwaves Online Ltd.,2025-12-17,2025,12,12,53.53,0,,0.37,2.94,1.65,0,0,0,-5.0
Park Medi World Ltd.,2025-12-17,2025,12,162,920.0,0,5.58,15.51,3.24,6.25,0,0,1,-8.67
Nephrocare Health Services Ltd.,2025-12-17,2025,12,460,871.05,0,11.29,24.73,2.29,10.12,0,0,1,2.45
Unisem Agritech Ltd.,2025-12-17,2025,12,65,20.36,0,1.61,1.78,2.2,1.84,0,0,0,-5.0
Riddhi Display Equipments Ltd.,2025-12-15,2025,12,100,23.45,0,2.19,1.93,7.88,4.89,0,0,0,-24.0
Corona Remedies Ltd.,2025-12-15,2025,12,1062,655.37,0,117.52,219.49,29.29,101.01,0,0,1,35.44
Wakefit Innovations Ltd.,2025-12-15,2025,12,195,1288.89,0,1.82,1.02,3.07,1.82,0,0,1,-1.39
Prodocs Solutions Ltd.,2025-12-15,2025,12,138,26.22,0,1.24,4.61,2.36,2.17,0,0,0,9.57
K.V.Toys India Ltd.,2025-12-15,2025,12,239,37.74,0,78.44,506.12,371.82,247.16,0,0,0,40.59
Flywings Simulator Training Centre Ltd.,2025-12-12,2025,12,191,54.19,0,1.23,3.46,0.95,1.47,0,0,0,7.2
Encompass Design India Ltd.,2025-12-12,2025,12,107,38.2,0,1.16,4.6,1.68,1.86,0,0,0,80.51
Methodhub Software Ltd.,2025-12-12,2025,12,194,97.35,0,12.49,47.84,21.96,21.11,0,0,0,-16.03
Western Overseas Study Abroad Ltd.,2025-12-11,2025,12,56,9.56,0,,0.39,2.39,1.39,0,0,0,-6.86
Luxury Time Ltd.,2025-12-11,2025,12,82,16.98,0,80.16,687.93,853.02,443.97,0,0,0,99.5
Vidya Wires Ltd.,2025-12-10,2025,12,52,300.01,0,2.74,55.65,29.35,19.99,0,0,1,2.25
Aequs Ltd.,2025-12-10,2025,12,124,921.81,0,49.72,82.97,78.08,57.41,0,0,1,22.01
Meesho Ltd.,2025-12-10,2025,12,111,5421.2,0,49.97,39.29,19.12,45.28,0,0,1,53.23
Shri Kanha Stainless Ltd.,2025-12-10,2025,12,90,43.95,0,,0.61,4.88,2.75,0,0,0,-7.11
Neochem Bio Solutions Ltd.,2025-12-09,2025,12,98,42.69,0,9.6,20.78,9.36,11.2,0,0,0,14.08
Helloji Holidays Ltd.,2025-12-09,2025,12,118,10.41,0,14.5,39.97,22.83,21.27,0,0,0,5.0
Ravelcare Ltd.,2025-12-08,2025,12,130,22.88,0,63.3,752.92,456.3,305.19,0,0,0,46.88
Clear Secured Services Ltd.,2025-12-08,2025,12,132,81.31,0,4.59,12.52,6.57,6.47,0,0,0,-14.36
Speb Adhesives Ltd.,2025-12-08,2025,12,56,30.72,0,1.7,4.06,1.71,2.06,0,0,0,1.79
Invicta Diagnostic Ltd.,2025-12-08,2025,12,85,26.71,0,2.01,6.94,3.38,3.41,0,0,0,13.76
Astron Multigrain Ltd.,2025-12-08,2025,12,63,17.46,0,,0.5,1.93,1.22,0,0,0,-24.0
Purple Wave Infocom Ltd.,2025-12-05,2025,12,126,29.84,0,5.68,7.66,3.77,5.29,0,0,0,3.57
Logiciel Solutions Ltd.,2025-12-05,2025,12,193,37.9,0,1.31,0.72,3.35,2.0,0,0,0,-23.99
Exato Technologies Ltd.,2025-12-05,2025,12,140,35.57,0,130.52,1494.55,1048.02,656.94,0,0,0,99.5
K K Silk Mills Ltd.,2025-12-03,2025,12,38,27.08,0,5.71,1.6,9.45,5.53,0,0,0,-20.0
Mother Nutri Foods Ltd.,2025-12-03,2025,12,117,36.74,0,4.65,34.4,11.18,11.4,0,0,0,6.24
SSMD Agrotech India Ltd.,2025-12-02,2025,12,121,32.2,0,5.33,0.61,2.24,1.46,0,0,0,-36.65
Sudeep Pharma Ltd.,2025-11-28,2025,11,593,895.0,0,85.68,116.18,15.14,65.56,0,0,1,30.55
Excelsoft Technologies Ltd.,2025-11-26,2025,11,120,500.0,0,20.52,106.72,16.01,31.87,0,0,1,4.97
