ipo_name,listing_date,issue_price,listing_gain_pct,return_1w,return_4w,return_6w,listing_year,listing_month,listing_quarter,gain_category
Kissht,2026-05-08,171,22.01,,,,2026,5,2,strong
Om Power,2026-04-17,175,10.5,,,,2026,4,2,moderate
Powerica,2026-04-02,395,-1.27,,,,2026,4,2,loss
Sai Parenteral’s,2026-04-02,392,3.49,,,,2026,4,2,weak
Aeroplane Basmati,2026-04-02,212,-15.09,,,,2026,4,2,loss
Central Mine Planning,2026-03-30,172,-10.43,,,,2026,3,1,loss
GSP Crop Science,2026-03-24,320,11.33,,,,2026,3,1,moderate
Innovision,2026-03-23,519,-27.9,,,,2026,3,1,loss
Rajputana Stainless,2026-03-19,122,-7.35,,,,2026,3,1,loss
Sedemac Mechatronics,2026-03-11,1352,7.33,,,,2026,3,1,moderate
Omnitech Engineering,2026-03-05,227,-9.72,,,,2026,3,1,loss
PNGS Reva,2026-03-04,386,6.66,,,,2026,3,1,moderate
Clean Max Enviro Energy,2026-03-02,1053,-17.62,,,,2026,3,1,loss
Shree Ram Twistex,2026-03-02,104,-31.35,,,,2026,3,1,loss
Gaudium IVF,2026-02-27,79,1.59,,,,2026,2,1,weak
Fractal Analytics,2026-02-16,900,-5.87,,,,2026,2,1,loss
Aye Finance,2026-02-16,129,-0.07,,,,2026,2,1,loss
Shadowfax Technologies,2026-01-28,124,-11.31,,,,2026,1,1,loss
Amagi Media Labs,2026-01-21,361,-3.53,,,,2026,1,1,loss
Bharat Coking Coal,2026-01-19,23,76.43,,,,2026,1,1,strong
Unimech Aerospace,2024-12-31,785,75.32,,,,2024,12,4,strong
Senores Pharmaceutical,2024-12-30,391,42.47,,,,2024,12,4,strong
Carraro India,2024-12-30,704,-9.63,,,,2024,12,4,loss
Ventive Hospitality,2024-12-30,643,9.54,,,,2024,12,4,moderate
Concord Enviro Systems,2024-12-27,701,17.99,,,,2024,12,4,moderate
DAM Capital,2024-12-27,283,46.68,,,,2024,12,4,strong
Sanathan Textiles,2024-12-27,321,20.98,,,,2024,12,4,strong
Mamata Machinery,2024-12-27,243,159.26,,,,2024,12,4,strong
Transrail Lighting,2024-12-27,432,28.14,,,,2024,12,4,strong
International Gemmological Institute,2024-12-20,417,12.99,,,,2024,12,4,moderate
Inventurus Knowledge Solutions,2024-12-19,1329,47.54,,,,2024,12,4,strong
One Mobikwik Systems,2024-12-18,279,89.25,,,,2024,12,4,strong
Vishal Mega Mart,2024-12-18,78,43.5,,,,2024,12,4,strong
Sai Life Sciences,2024-12-18,549,39.28,,,,2024,12,4,strong
Suraksha Diagnostic,2024-12-06,441,-5.39,,,,2024,12,4,loss
Enviro Infra,2024-11-29,148,39.91,,,,2024,11,4,strong
NTPC Green Energy,2024-11-27,108,12.64,,,,2024,11,4,moderate
Zinka Logistics,2024-11-22,273,-4.74,,,,2024,11,4,loss
Niva Bupa Health Insurance,2024-11-14,74,0.03,,,,2024,11,4,weak
Swiggy,2024-11-13,390,16.92,,,,2024,11,4,moderate
ACME Solar,2024-11-13,289,-12.4,,,,2024,11,4,loss
Sagility India,2024-11-12,30,-2.27,,,,2024,11,4,loss
Afcons Infrastructure,2024-11-04,463,2.42,,,,2024,11,4,weak
Godavari Biorefineries,2024-10-30,352,-2.5,,,,2024,10,4,loss
Deepak Builders and Engineers,2024-10-28,203,-20.22,,,,2024,10,4,loss
Waaree Energies,2024-10-28,1503,55.62,,,,2024,10,4,strong
Hyundai India,2024-10-22,1960,-7.16,,,,2024,10,4,loss
Garuda Construction,2024-10-15,95,11.96,,,,2024,10,4,moderate
Diffusion Engineers,2024-10-04,168,20.93,,,,2024,10,4,strong
KRN Heat Exchanger,2024-10-03,220,117.63,,,,2024,10,4,strong
Manba Finance,2024-09-30,120,26.88,,,,2024,9,3,strong
Arkade Developers,2024-09-24,128,29.58,,,,2024,9,3,strong
Western Carriers,2024-09-24,172,-7.3,,,,2024,9,3,loss
Northern Arc Capital,2024-09-24,263,22.97,,,,2024,9,3,strong
PN Gadgil Jewellers,2024-09-17,480,65.27,,,,2024,9,3,strong
Kross,2024-09-16,240,8.25,,,,2024,9,3,moderate
Bajaj Housing Finance,2024-09-16,70,135.71,,,,2024,9,3,strong
Tolins Tyres,2024-09-16,226,5.93,,,,2024,9,3,moderate
Shree Tirupati Balajee Agro,2024-09-12,83,13.86,,,,2024,9,3,moderate
Gala Precision,2024-09-09,529,43.13,,,,2024,9,3,strong
Baazar Style Retail,2024-09-06,389,2.83,,,,2024,9,3,weak
ECOS Mobility,2024-09-04,334,32.68,,,,2024,9,3,strong
Premier Energies,2024-09-03,450,86.64,,,,2024,9,3,strong
Orient Technologies,2024-08-28,206,46.8,,,,2024,8,3,strong
Interarch Building Products,2024-08-26,900,32.86,,,,2024,8,3,strong
Saraswati Saree,2024-08-20,160,27.31,,,,2024,8,3,strong
FirstCry,2024-08-13,465,46.04,,,,2024,8,3,strong
Unicommerce eSolutions,2024-08-13,108,94.52,,,,2024,8,3,strong
OLA Electric,2024-08-09,76,20.0,,,,2024,8,3,strong
Ceigall India,2024-08-08,401,-3.55,,,,2024,8,3,loss
Akums Drugs,2024-08-06,679,17.27,,,,2024,8,3,moderate
Sanstar,2024-07-26,95,21.13,,,,2024,7,3,strong
Emcure Pharma,2024-07-10,1008,34.84,,,,2024,7,3,strong
Bansal Wire,2024-07-10,256,36.86,,,,2024,7,3,strong
Vraj Iron,2024-07-03,207,21.74,,,,2024,7,3,strong
Allied Blenders,2024-07-02,281,13.13,,,,2024,7,3,moderate
Stanley Lifestyles,2024-06-28,369,28.66,,,,2024,6,2,strong
Akme Fintrade,2024-06-26,120,11.13,,,,2024,6,2,moderate
Dee Development,2024-06-26,203,65.18,,,,2024,6,2,strong
Ixigo,2024-06-18,93,78.19,,,,2024,6,2,strong
Kronox Lab,2024-06-10,136,17.15,,,,2024,6,2,moderate
Awfis Space,2024-05-30,383,10.12,,,,2024,5,2,moderate
Go Digit Insurance,2024-05-23,272,12.5,,,,2024,5,2,moderate
TBO Tek,2024-05-15,920,52.86,,,,2024,5,2,strong
Aadhar Housing Finance,2024-05-15,315,4.59,,,,2024,5,2,weak
Indegene,2024-05-13,452,26.31,,,,2024,5,2,strong
JNK India,2024-04-30,415,67.36,,,,2024,4,2,strong
Bharti Hexacom,2024-04-12,570,42.68,,,,2024,4,2,strong
SRM Contractors,2024-04-03,210,7.62,,,,2024,4,2,moderate
Krystal Integrated,2024-03-21,715,-0.3,,,,2024,3,1,loss
Popular Vehicles,2024-03-19,295,-6.39,,,,2024,3,1,loss
Gopal Snacks,2024-03-14,401,-9.55,,,,2024,3,1,loss
JG Chemicals,2024-03-13,221,-16.45,,,,2024,3,1,loss
R K Swamy,2024-03-12,288,-8.59,,,,2024,3,1,loss
Mukka Proteins,2024-03-07,28,50.89,,,,2024,3,1,strong
Platinum Industries,2024-03-05,171,29.36,,,,2024,3,1,strong
Exicom Tele-Systems,2024-03-05,142,58.42,,,,2024,3,1,strong
GPT Healthcare,2024-02-29,186,7.9,,,,2024,2,1,moderate
Juniper Hotels,2024-02-28,360,11.53,,,,2024,2,1,moderate
Vibhor Steel,2024-02-20,151,195.53,,,,2024,2,1,strong
Entero Healthcare,2024-02-16,1258,-8.62,,,,2024,2,1,loss
Rashi Peripherals,2024-02-14,311,3.38,,,,2024,2,1,weak
Capital Small Finance Bank,2024-02-14,468,-7.05,,,,2024,2,1,loss
Jana Small Finance Bank,2024-02-14,414,-11.07,,,,2024,2,1,loss
Apeejay Surrendra Park Hotels,2024-02-12,155,31.32,,,,2024,2,1,strong
BLS E-Services,2024-02-06,135,171.11,,,,2024,2,1,strong
Nova Agri,2024-01-31,41,40.85,,,,2024,1,1,strong
EPACK Durable,2024-01-30,230,-9.74,,,,2024,1,1,loss
Medi Assist Healthcare,2024-01-23,418,11.03,,,,2024,1,1,moderate
Jyoti CNC,2024-01-16,331,31.18,,,,2024,1,1,strong
Innova Captab,2023-12-29,448,20.85,,,,2023,12,4,strong
Azad Engineering,2023-12-28,524,29.29,,,,2023,12,4,strong
Happy Forgings,2023-12-27,850,21.27,,,,2023,12,4,strong
RBZ Jewellers,2023-12-27,100,5.0,,,,2023,12,4,moderate
Credo Brands,2023-12-27,280,11.5,,,,2023,12,4,moderate
Suraj Estate,2023-12-26,360,,,,,2023,12,4,loss
Muthoot Microfin,2023-12-26,291,,,,,2023,12,4,loss
Motisons Jewellers,2023-12-26,55,88.27,,,,2023,12,4,strong
INOX India,2023-12-21,660,42.42,,,,2023,12,4,strong
DOMS Industries,2023-12-20,790,67.85,,,,2023,12,4,strong
India Shelter Finance,2023-12-20,493,10.49,,,,2023,12,4,moderate
Flair Writing,2023-12-01,304,48.32,,,,2023,12,4,strong
Tata Technologies,2023-11-30,500,162.6,,,,2023,11,4,strong
Gandhar Oil,2023-11-30,169,78.34,,,,2023,11,4,strong
FedFina,2023-11-30,140,0.18,,,,2023,11,4,weak
IREDA,2023-11-29,32,87.5,,,,2023,11,4,strong
