ipo_name,listing_date,listing_year,listing_month,issue_price,issue_amount_cr,lot_size,pe_ratio,qib_x,nii_x,retail_x,total_x,gmp,gmp_percent,issue_category,listing_gain_pct,is_mainboard
Powerica,2026-04-02,2026,4,395,1100.0,37.0,24.45,4.74,0.47,0.16,1.53,7.0,1.77,IPO,-1.27,1
Central Mine Planning,2026-03-30,2026,3,172,1841.45,80.0,18.41,3.48,0.35,0.35,1.05,5.0,2.91,IPO,-10.43,1
GSP Crop Science,2026-03-24,2026,3,320,400.0,46.0,15.34,2.66,3.14,0.42,1.64,2.0,0.62,IPO,11.33,1
Innovision,2026-03-23,2026,3,519,319.25,27.0,33.8,14.3,8.6,0.6,3.46,-92.0,-17.73,IPO,-27.9,1
Rajputana Stainless,2026-03-19,2026,3,122,254.98,110.0,21.1,2.51,2.59,0.27,1.12,3.0,2.46,IPO,-7.35,1
Sedemac Mechatronics,2026-03-11,2026,3,1352,1087.35,11.0,126.91,8.46,0.77,0.2,2.68,0.0,0.0,IPO,7.33,1
Omnitech Engineering,2026-03-05,2026,3,227,583.0,66.0,54.47,3.0,0.77,0.35,1.2,0.0,0.0,IPO,-9.72,1
Shree Ram Twistex,2026-03-02,2026,3,104,110.24,144.0,38.21,3.94,220.3,76.63,43.66,-28.0,-26.92,IPO,-31.35,1
Gaudium IVF,2026-02-27,2026,2,79,165.0,189.0,25.36,1.62,14.05,7.6,7.27,0.0,0.0,IPO,1.59,1
Aye Finance,2026-02-16,2026,2,129,1010.0,116.0,14.11,1.62,0.05,0.81,1.04,-2.0,-1.55,IPO,-0.07,1
Fractal Analytics,2026-02-16,2026,2,900,2833.9,16.0,65.5,4.41,1.11,1.1,2.81,-28.0,-3.11,IPO,-5.87,1
Shadowfax Technologies,2026-01-28,2026,1,124,1907.27,120.0,1017.96,4.0,0.88,2.43,2.86,-3.5,-2.82,IPO,-11.31,1
Amagi Media Labs,2026-01-21,2026,1,361,1788.62,41.0,-101.78,33.13,38.26,9.54,30.24,-1.0,-0.28,IPO,-3.53,1
Bharat Coking Coal,2026-01-19,2026,1,23,1068.78,600.0,8.64,310.81,240.49,49.37,143.85,18.5,80.43,IPO,76.43,1
Modern Diagnostic & Research Centre Ltd.,2026-01-07,2026,1,90,35.04,0.0,,78.84,702.57,337.84,263.37,0.0,0.0,,5.54,0
E to E Transportation Infrastructure Ltd.,2026-01-02,2026,1,174,79.97,0.0,,95.34,871.56,541.83,368.17,0.0,0.0,,88.39,0
Apollo Techno Industries Ltd.,2025-12-31,2025,12,130,45.55,0.0,,11.12,98.46,48.13,37.2,0.0,0.0,,16.88,0
