year,company_name,issue_category,close_date,issue_amount_cr,issue_price,lot_size,pe_ratio,qib_x,nii_x,retail_x,total_x,gmp,gmp_percent
2019,Valencia Nutrition SME,SME,27th Dec 2019,7.23,46,3000.0,,,2.53,0.58,1.56,0.0,0.0
2019,Prince Pipes IPO,IPO,20th Dec 2019,500.0,178,84.0,18.35,3.56,1.21,1.9,1.56,,
2019,DC Infotech SME,SME,18th Dec 2019,10.8,45,3000.0,7.4,,1.54,1.76,1.65,,
2019,Ujjivan Bank IPO,IPO,4th Dec 2019,745.95,37,400.0,,113.8,486.14,50.33,101.31,,
2019,Ascom Leasing & SME,SME,28th Nov 2019,6.32,30,4000.0,,,1.92,1.03,1.47,,
2019,CSB Bank IPO,IPO,26th Nov 2019,409.68,195,75.0,,62.18,164.68,44.46,47.8,,
2019,Anuroop Packaging SME,SME,13th Nov 2019,2.64,13,10000.0,,,3.82,7.05,5.44,0.0,0.0
2019,Sona Hi Sona SME,SME,4th Oct 2019,4.5,10,10000.0,,,1.74,0.69,1.21,0.0,0.0
2019,IRCTC IPO,IPO,3rd Oct 2019,637.97,320,40.0,,108.79,354.52,14.83,111.91,,
2020,Billwin Industries SME,SME,22nd Jun 2020,2.46,37,3000.0,264.0,,1.67,0.07,0.87,0.0,0.0
2020,Antony Waste Ltd IPO,IPO,23rd Dec 2020,299.99,315,47.0,,9.67,18.69,16.55,15.04,175.0,55.56
2020,Mrs. Bectors Food IPO,IPO,17th Dec 2020,540.54,288,50.0,,176.85,620.86,29.33,198.02,215.0,74.65
2020,Burger King IPO,IPO,4th Dec 2020,810.0,60,250.0,,86.64,354.11,68.15,156.65,43.0,71.67
2020,Net Pix Shorts SME,SME,23rd Nov 2020,2.7,30,4000.0,,0.0,1.67,1.87,1.77,,
2020,Gland Pharma IPO,IPO,11th Nov 2020,6479.55,1500,10.0,,6.4,0.51,0.24,2.06,118.0,7.87
2020,Shine Fashions SME,SME,26th Oct 2020,1.6,40,3000.0,,0.0,1.83,1.63,1.73,,
2020,Equitas SFB IPO,IPO,22nd Oct 2020,517.6,33,450.0,,3.91,0.22,2.08,1.95,1.0,3.03
2020,Bodhi Tree Multimedia SME,SME,13th Oct 2020,3.71,95,1200.0,,0.0,1.44,1.76,1.6,,
2020,Sigma Solve SME,SME,9th Oct 2020,4.95,45,3000.0,,0.0,1.09,2.09,1.59,,
2020,Veer Global Infraconstruction SME,SME,9th Oct 2020,4.92,28,4000.0,,0.0,1.84,1.18,1.51,,
2020,Atal Realtech SME,SME,7th Oct 2020,10.83,72,1600.0,,0.0,1.99,0.4,1.2,,
2020,Likhitha Infrastructure IPO,IPO,7th Oct 2020,61.2,120,125.0,,21.99,1.54,23.71,9.51,6.0,5.0
2020,GM Polyplast SME,SME,6th Oct 2020,8.09,159,800.0,,0.0,2.13,1.07,1.6,,
2020,AAA Technologies SME,SME,5th Oct 2020,10.23,42,3000.0,,0.0,2.47,2.31,2.39,,
2020,UTI AMC IPO,IPO,1st Oct 2020,2159.88,554,27.0,,3.34,0.93,2.32,2.31,-14.0,-2.53
2020,Mazagon Dock IPO,IPO,1st Oct 2020,443.69,145,103.0,,89.71,678.88,35.63,157.41,105.0,72.41
2020,ATAM Valves SME,SME,25th Sep 2020,4.5,40,3000.0,,0.0,2.48,3.35,2.91,,
2020,Angel Broking IPO,IPO,24th Sep 2020,600.0,306,49.0,,5.74,0.69,4.31,3.94,-5.0,-1.63
2020,CAMS IPO,IPO,23rd Sep 2020,2243.12,1230,12.0,,73.18,111.85,5.54,46.99,328.0,26.67
2020,Chemcon IPO,IPO,23rd Sep 2020,318.0,340,44.0,,113.54,449.14,41.15,149.3,310.0,91.18
2020,SecMark SME,SME,23rd Sep 2020,15.04,135,1000.0,,0.0,1.12,1.35,1.24,,
2020,Advait Infratech SME,SME,18th Sep 2020,6.89,51,2000.0,,0.0,1.53,2.32,1.92,,
2020,Route Mobile IPO,IPO,11th Sep 2020,600.0,350,40.0,,89.76,192.81,12.67,73.3,310.0,88.57
2020,Happiest Minds IPO,IPO,9th Sep 2020,702.02,166,90.0,,77.43,351.46,70.94,150.98,,
2020,Trekkingtoes SME,SME,20th Aug 2020,4.55,105,1200.0,,0.0,0.29,2.8,1.55,,
2020,Suratwwala Business SME,SME,5th Aug 2020,6.9,15,8000.0,83.0,0.0,2.35,0.28,1.31,,
2020,Mindspace REIT IPO,IPO,29th Jul 2020,4500.0,275,200.0,,10.61,15.51,0.0,12.96,,
2020,Yes Bank IPO,IPO,17th Jul 2020,15000.0,12,1000.0,,1.9,0.63,0.47,0.93,,
2020,Rossari Biotech IPO,IPO,15th Jul 2020,496.25,425,35.0,33.81,85.26,239.83,7.23,79.37,,
2020,Bonlon Industries SME,SME,3rd Jul 2020,10.52,28,4000.0,7.39,,2.51,0.21,1.36,0.0,0.0
2020,Nirmitee Robotics SME,SME,9th Apr 2020,3.24,185,600.0,185.0,0.0,1.67,0.63,1.15,,
2020,Laxmi Goldorna SME,SME,3rd Apr 2020,8.28,15,8000.0,39.0,0.0,2.22,0.2,1.21,,
2020,DJ Mediaprint SME,SME,31st Mar 2020,2.4,20,6000.0,8.5,0.0,1.95,1.71,1.83,,
2020,Cospower Engineering SME,SME,19th Mar 2020,2.04,51,2000.0,23.0,,2.36,0.69,1.53,0.0,0.0
2020,RO Jewels SME,SME,17th Mar 2020,4.91,36,3000.0,34.0,0.0,1.95,0.43,1.19,,
2020,Antony Waste IPO,IPO,16th Mar 2020,206.0,300,50.0,10.6,0.89,0.26,0.38,0.5,,
2020,SBI Cards IPO,IPO,5th Mar 2020,10340.79,755,19.0,45.8,57.18,45.23,2.5,26.54,,
2020,SM Auto Stamping SME,SME,5th Mar 2020,6.91,18,8000.0,300.0,,2.22,0.47,1.34,0.0,0.0
2020,ICL Organic Dairy SME,SME,7th Feb 2020,4.08,20,6000.0,80.0,,3.57,2.59,3.08,0.0,0.0
2020,Chandra Bhagat Pharma SME,SME,6th Feb 2020,10.2,51,2000.0,51.0,,1.87,1.44,1.65,0.0,0.0
2020,ITI Ltd IPO,IPO,5th Feb 2020,1399.86,77,150.0,,0.63,0.23,1.06,0.62,,
2020,Madhav Copper SME,SME,30th Jan 2020,25.5,102,1200.0,53.0,,1.72,1.77,1.74,0.0,0.0
2020,Janus SME,SME,30th Jan 2020,8.0,50,3000.0,57.0,,1.03,1.48,1.26,0.0,0.0
2020,Tranway Technologies SME,SME,29th Jan 2020,4.24,10,10000.0,90.0,,1.09,2.87,1.98,0.0,0.0
2020,HindPrakash Industries SME,SME,17th Jan 2020,11.52,40,3000.0,11.7,,2.96,1.37,2.16,0.0,0.0
2020,Gian Life Care SME,SME,3rd Jan 2020,3.12,22,6000.0,21.36,,1.91,0.78,1.34,0.0,0.0
2021,Focus Business Solution SME,SME,5th Jul 2021,1.22,19,6000.0,,0.0,1.08,4.3,2.69,,
2021,Party Cruisers SME,SME,25th Feb 2021,7.75,51,2000.0,,,0.25,1.25,0.75,,
2021,Pavna Industries SME,SME,1st Mar 2021,29.7,165,800.0,,,1.9,0.51,1.2,,
2021,Vivo Collaboration SME,SME,23rd Dec 2021,4.4,82,1600.0,,0.0,292.86,273.08,282.97,,
2021,CMS Info Systems IPO,IPO,23rd Dec 2021,1100.0,216,69.0,,1.98,1.45,2.15,1.95,-8.0,-3.7
2021,Brandbucket Media SME,SME,23rd Dec 2021,8.25,55,2000.0,,0.0,2.15,1.01,1.58,,
2021,Wherrelz IT Solutions SME,SME,21st Dec 2021,2.01,171,800.0,,0.0,1.65,2.86,2.25,,
2021,Clara Industries SME,SME,21st Dec 2021,3.02,43,3000.0,,0.0,1.51,1.55,1.53,,
2021,Supriya Lifescience IPO,IPO,20th Dec 2021,700.0,274,54.0,,31.83,161.22,56.01,71.51,130.0,47.45
2021,Foce India SME,SME,17th Dec 2021,29.03,225,600.0,,0.0,1.29,1.84,1.57,,
2021,HP Adhesives IPO,IPO,17th Dec 2021,125.96,274,50.0,,1.82,19.04,81.24,20.96,80.0,29.2
2021,Eurobond SME,SME,16th Dec 2021,45.5,70,2000.0,,0.0,1.66,1.92,1.8,,
2021,Data Patterns IPO,IPO,16th Dec 2021,588.22,585,25.0,,190.86,254.22,23.14,119.62,320.0,54.7
2021,Nupur Recyclers SME,SME,15th Dec 2021,34.2,60,2000.0,,0.0,53.12,34.23,43.67,,
2021,Medplus Health IPO,IPO,15th Dec 2021,1398.29,796,18.0,,111.9,85.33,5.24,52.59,125.0,15.7
2021,Metro Brands IPO,IPO,14th Dec 2021,1367.51,500,30.0,,8.49,3.02,1.13,3.64,-55.0,-11.0
2021,MapmyIndia IPO,IPO,13th Dec 2021,1039.61,1033,14.0,,196.36,424.69,15.2,154.71,670.0,64.86
2021,Shriram Properties IPO,IPO,10th Dec 2021,600.04,118,125.0,,1.85,4.82,12.72,4.6,-10.0,-8.47
2021,RateGain IPO,IPO,9th Dec 2021,1335.74,425,35.0,,8.42,42.04,8.08,17.41,18.0,4.24
2021,Anand Rathi IPO,IPO,6th Dec 2021,659.38,550,27.0,,2.5,25.42,7.76,9.78,45.0,8.18
2021,Tega Industries IPO,IPO,3rd Dec 2021,619.23,453,33.0,,215.45,666.19,29.44,219.04,270.0,59.6
2021,Star Health IPO,IPO,2nd Dec 2021,6018.68,900,16.0,,1.03,0.19,1.1,0.79,-80.0,-8.89
2021,DMR Hydroengineering SME,SME,29th Nov 2021,2.09,21,6000.0,,0.0,8.53,14.29,11.43,,
2021,Omnipotent Industries SME,SME,22nd Nov 2021,18.9,63,2000.0,,0.0,1.0,1.34,1.17,,
2021,Go Fashion IPO,IPO,22nd Nov 2021,1013.61,690,21.0,,100.73,262.08,49.7,135.46,495.0,71.74
2021,Tarsons Products IPO,IPO,17th Nov 2021,1023.54,662,22.0,,115.77,184.58,10.56,77.49,180.0,27.19
2021,Latent View Analytics IPO,IPO,12th Nov 2021,600.0,197,76.0,,145.48,850.66,119.44,326.49,265.0,134.52
2021,Sapphire Foods IPO,IPO,11th Nov 2021,2073.25,1180,12.0,,7.5,3.46,8.7,6.62,130.0,11.02
2021,Paytm IPO,IPO,10th Nov 2021,18300.0,2150,6.0,,2.79,0.24,1.66,1.89,-30.0,-1.4
2021,Suyog Gurbaxani Funicular SME,SME,8th Nov 2021,29.5,45,3000.0,,0.0,1.98,0.56,1.27,,
2021,Sigachi Industries IPO,IPO,3rd Nov 2021,125.43,163,90.0,,86.51,172.43,80.49,101.91,225.0,138.04
2021,SJS Enterprises IPO,IPO,3rd Nov 2021,800.0,542,27.0,,1.42,2.32,1.38,1.59,70.0,12.92
2021,Policybazaar IPO,IPO,3rd Nov 2021,5709.71,980,15.0,,24.89,7.82,3.31,16.58,135.0,13.78
2021,Fino Payments Bank IPO,IPO,2nd Nov 2021,1200.29,577,25.0,,1.64,0.21,5.92,2.03,,
2021,Nidan Healthcare SME,SME,2nd Nov 2021,50.0,125,1000.0,,0.0,0.15,3.44,1.8,,
2021,Nykaa IPO,IPO,1st Nov 2021,5349.72,1125,12.0,,91.18,112.02,12.24,81.78,775.0,68.89
2021,Kotyark Industries SME,SME,25th Oct 2021,11.26,51,2000.0,,0.0,3.6,10.7,7.15,,
2021,DK Enterprises Global SME,SME,12th Oct 2021,7.99,40,3000.0,,0.0,7.43,17.58,12.5,,
2021,Samor Reality SME,SME,5th Oct 2021,8.06,62,2000.0,,0.0,2.55,0.94,1.74,,
2021,Adishakti Loha and SME,SME,5th Oct 2021,2.0,11,10000.0,,0.0,0.81,2.87,1.84,,
2021,CWD Limited SME,SME,5th Oct 2021,18.01,180,800.0,,0.0,1.91,0.71,1.31,,
