IPO Name,Listing Date,Allotment Price (INR),Listing Return (%),IPO Price,Listing Returns (%),1 Week Returns (%),4 Week Returns (%),6 Week Returns (%),IPO Price (INR),IPO Company
Kissht,5/8/2026,171,22.01,,,,,,,
Om Power,4/17/2026,175,10.50,,,,,,,
Powerica,4/2/2026,395,-1.27,,,,,,,
Sai Parenteral’s,4/2/2026,392,3.49,,,,,,,
Aeroplane Basmati,4/2/2026,212,-15.09,,,,,,,
Central Mine Planning,3/30/2026,172,-10.43,,,,,,,
GSP Crop Science,3/24/2026,320,11.33,,,,,,,
Innovision,3/23/2026,519,-27.90,,,,,,,
Rajputana Stainless,3/19/2026,122,-7.35,,,,,,,
Sedemac Mechatronics,3/11/2026,"1,352",7.33,,,,,,,
Omnitech Engineering,3/5/2026,227,-9.72,,,,,,,
PNGS Reva,3/4/2026,386,6.66,,,,,,,
Clean Max Enviro Energy,3/2/2026,"1,053",-17.62,,,,,,,
Shree Ram Twistex,3/2/2026,104,-31.35,,,,,,,
Gaudium IVF,2/27/2026,79,1.59,,,,,,,
Fractal Analytics,2/16/2026,900,-5.87,,,,,,,
Aye Finance,2/16/2026,129,-0.07,,,,,,,
Shadowfax Technologies,1/28/2026,124,-11.31,,,,,,,
Amagi Media Labs,1/21/2026,361,-3.53,,,,,,,
Bharat Coking Coal,1/19/2026,23,76.43,,,,,,,
Unimech Aerospace,12/31/2024,785,75.32,,,,,,,
Senores Pharmaceutical,12/30/2024,391,42.47,,,,,,,
Carraro India,12/30/2024,704,-9.63,,,,,,,
Ventive Hospitality,12/30/2024,643,9.54,,,,,,,
Concord Enviro Systems,12/27/2024,701,17.99,,,,,,,
DAM Capital,12/27/2024,283,46.68,,,,,,,
Sanathan Textiles,12/27/2024,321,20.98,,,,,,,
Mamata Machinery,12/27/2024,243,159.26,,,,,,,
Transrail Lighting,12/27/2024,432,28.14,,,,,,,
International Gemmological Institute,12/20/2024,417,12.99,,,,,,,
Inventurus Knowledge Solutions,12/19/2024,"1,329",47.54,,,,,,,
One Mobikwik Systems,12/18/2024,279,89.25,,,,,,,
Vishal Mega Mart,12/18/2024,78,43.50,,,,,,,
Sai Life Sciences,12/18/2024,549,39.28,,,,,,,
Suraksha Diagnostic,12/6/2024,441,-5.39,,,,,,,
Enviro Infra,11/29/2024,148,39.91,,,,,,,
NTPC Green Energy,11/27/2024,108,12.64,,,,,,,
Zinka Logistics,11/22/2024,273,-4.74,,,,,,,
Niva Bupa Health Insurance,11/14/2024,74,0.03,,,,,,,
Swiggy,11/13/2024,390,16.92,,,,,,,
ACME Solar,11/13/2024,289,-12.40,,,,,,,
Sagility India,11/12/2024,30,-2.27,,,,,,,
Afcons Infrastructure,11/4/2024,463,2.42,,,,,,,
Godavari Biorefineries,10/30/2024,352,-2.50,,,,,,,
Deepak Builders and Engineers,10/28/2024,203,-20.22,,,,,,,
Waaree Energies,10/28/2024,"1,503",55.62,,,,,,,
Hyundai India,10/22/2024,"1,960",-7.16,,,,,,,
Garuda Construction,10/15/2024,95,11.96,,,,,,,
Diffusion Engineers,10/4/2024,168,20.93,,,,,,,
KRN Heat Exchanger,10/3/2024,220,117.63,,,,,,,
Manba Finance,9/30/2024,120,26.88,,,,,,,
Arkade Developers,9/24/2024,128,29.58,,,,,,,
Western Carriers,9/24/2024,172,-7.30,,,,,,,
Northern Arc Capital,9/24/2024,263,22.97,,,,,,,
PN Gadgil Jewellers,9/17/2024,480,65.27,,,,,,,
Kross,9/16/2024,240,8.25,,,,,,,
Bajaj Housing Finance,9/16/2024,70,135.71,,,,,,,
Tolins Tyres,9/16/2024,226,5.93,,,,,,,
Shree Tirupati Balajee Agro,9/12/2024,83,13.86,,,,,,,
Gala Precision,9/9/2024,529,43.13,,,,,,,
Baazar Style Retail,9/6/2024,389,2.83,,,,,,,
ECOS Mobility,9/4/2024,334,32.68,,,,,,,
Premier Energies,9/3/2024,450,86.64,,,,,,,
